PE Exam,First Time Volume,First Time Pass Rate (%),Repeat Volume,Repeat Pass Rate (%)
Agricultural and Biological,0,0,0,0
Architectural Engineering,0,0,0,0
Chemical,363,65,57,28
Civil: Construction,680,61,669,36
Civil: Geotechnical,535,66,362,35
Civil: Structural,1531,63,724,41
Civil: Transportation,1510,70,1029,45
Civil: Water Resources and Environmental,1585,71,895,46
Control Systems,252,66,45,33
Electrical and Computer: Computer Engineering,35,54,8,0
"Electrical and Computer: Electronics, Controls, and Communications",154,66,44,50
Electrical and Computer: Power,1110,50,726,26
Environmental,515,69,83,42
Fire Protection,210,55,90,29
Industrial and Systems,0,0,0,0
Mechanical: HVAC and Refrigeration,1315,72,256,38
Mechanical: Machine Design and Materials,924,69,153,39
Mechanical: Thermal and Fluids Systems,1014,71,219,34
Metallurgical and Materials,58,78,9,33
Mining and Mineral Processing,42,67,30,60
Naval Architecture and Marine,0,0,0,0
Nuclear,11,55,5,20
Petroleum,228,63,0,0
Software,0,0,0,0
